title,author,description,date,publisher,language,subjects,categories,isbn,pages,source,identifier,download_count,file_size,pdf_url,cover_url,local_pdf_path,local_cover_path,added_date
The Apothecary Diaries Light Novels ( volumes 1-15),Natsu Hyūga,"This is the translated Apothecary Diaries Light Novel series provided by yours truly!<div><br /></div><div><br /></div><div>Enjoy!</div><div><br /></div><div>I'm no sure about the page issue, sorry! I hope you've all figured it out by now?</div><div><br /></div><div>Please be wary of slow updates, I’m human with a life and a job too.</div>",2014,,en,"Apothecary Diaries, Light Novel","Apothecary Diaries, Light Novel",,,archive.org,the-apothecary-diaries-light-novel-series,0,15958197,https://archive.org/download/the-apothecary-diaries-light-novel-series/The Apothecary Diaries Volume 14.pdf,https://archive.org/download/the-apothecary-diaries-light-novel-series/Screenshot 2024-02-07 at 8.29.32 PM_thumb.jpg,,,2025-11-26T03:10:34.668784
The Crucible Full Text,,<p>Miller's Play</p>,,,en,"witch craft, religion, play","witch craft, religion, play",,,archive.org,TheCrucibleFullText,0,524252,https://archive.org/download/TheCrucibleFullText/The Crucible full text.pdf,https://archive.org/download/TheCrucibleFullText/__ia_thumb.jpg,,,2025-11-26T03:10:34.785964
Cantorion sheet music collection (part 2),,A collection of public domain sheet music from http://cantorion.org,,,en,"sheet music, sheet music","sheet music, sheet music",,,archive.org,Cantorion_sheet_music_collection_2,0,295052,https://archive.org/download/Cantorion_sheet_music_collection_2/000c62eff18e9d38179265bc831b9931.pdf,https://archive.org/download/Cantorion_sheet_music_collection_2/__ia_thumb.jpg,,,2025-11-26T03:10:34.954388
Diary Of A Wimpy Kid Book Series,Jeff Kinney,"Journals of the main character, Greg Heffley. Befitting a teen's diary, the books are filled with hand-written notes and simple drawings of Greg's daily adventures.",2007-04-01,,en,"Comedy, Young Adult Fiction","Comedy, Young Adult Fiction",,,archive.org,diaryofawimpykidbookseriesbyjeffkinney_202004,0,8260083,https://archive.org/download/diaryofawimpykidbookseriesbyjeffkinney_202004/Diary of a wimpy kid book01.pdf,https://archive.org/download/diaryofawimpykidbookseriesbyjeffkinney_202004/__ia_thumb.jpg,,,2025-11-26T03:10:35.040853
The Voynich Manuscript,,"The Voynich Manuscript is a document that is notable for its strange text, that to date hasn't been decyphered. Theories range from a secret language or code to an old sort of joke or hoax.",,,en,voynich; manuscript,voynich; manuscript,,,archive.org,TheVoynichManuscript,0,56222755,https://archive.org/download/TheVoynichManuscript/Voynich_Manuscript.pdf,https://archive.org/download/TheVoynichManuscript/__ia_thumb.jpg,,,2025-11-26T03:10:36.729169
Particulate Filtering Facepiece Respirator User Instructions,,"Particulate Filtering Facepiece Respirator User Instructions for N100, N95, N99, P100, P95, P99, and R95",,,en,N100; N95; N99; P100; P95; P99; R95; Donning; Doffing; Particulate; Filtering; Facepiece; Respirator; User Instructions,N100; N95; N99; P100; P95; P99; R95; Donning; Doffing; Particulate; Filtering; Facepiece; Respirator; User Instructions,,,archive.org,ParticulateFilteringFacepieceRespiratorUserInstructions,0,264114,https://archive.org/download/ParticulateFilteringFacepieceRespiratorUserInstructions/0006-3M-1860-1860S.pdf,https://archive.org/download/ParticulateFilteringFacepieceRespiratorUserInstructions/__ia_thumb.jpg,,,2025-11-26T03:10:37.972770
The Way Of The Superior Man.pdf (PDFy mirror),,"<p>	<strong>This public document was automatically mirrored from <a href=""https://pdf.yt/"" rel=""ugc nofollow"">PDFy</a>.</strong></p><ul><li><strong>Original filename:</strong> The Way Of The Superior Man.pdf</li>	<li><strong>URL:</strong> <a href=""http://pdf.yt/d/TIGwEuUmNnQVm7x7"" rel=""ugc nofollow"">https://pdf.yt/d/TIGwEuUmNnQVm7x7</a></li>	<li><strong>Upload date:</strong> July 15, 2014 12:43:42</li></ul>",2014-01-01,,en,"mirror, pdf.yt","mirror, pdf.yt",,,archive.org,pdfy-TIGwEuUmNnQVm7x7,0,1292081,https://archive.org/download/pdfy-TIGwEuUmNnQVm7x7/The Way Of The Superior Man.pdf,https://archive.org/download/pdfy-TIGwEuUmNnQVm7x7/__ia_thumb.jpg,,,2025-11-26T03:10:38.676611
IA Law Enforcement Requests,,IA Law Enforcement Requests<br />,2016-11-21,,en,"IA Law Enforcement Requests, internet archive","IA Law Enforcement Requests, internet archive",,,archive.org,ialerequestsummary,0,305665,https://archive.org/download/ialerequestsummary/transparency-LERequestSummary2013.pdf,https://archive.org/download/ialerequestsummary/__ia_thumb.jpg,,,2025-11-26T03:10:39.890432
Barely Legal Magazine,Hustler,"<table class=""infobox hproduct cke_show_border"" style=""border:1px solid rgb(162,169,177);font-size:12.319999694824219px;border-spacing:3px;background-color:rgb(248,249,250);margin:0.5em 0px 0.5em 1em;padding:0.2em;clear:right;line-height:1.5em;font-family:sans-serif;width:22em;""><caption class=""fn"" style=""font-size:15.399999618530273px;font-weight:bold;padding:0.2em;""><i>Barely Legal</i></caption><tbody><tr><td colspan=""2"" style=""border:1px dotted rgb(211,211,211);vertical-align:top;text-align:center;""><a class=""image"" href=""https://en.wikipedia.org/wiki/File:Barelylegal.jpg"" style=""text-decoration:none;color:rgb(11,0,128);background-image:none;"" rel=""ugc nofollow""><img alt=""Barely Legal Magazine"" src=""//web.archive.org/web/2im_/https://dl.dropboxusercontent.com/u/200015521/Pictures/Barely%20Legal%20Magazine.jpg"" style=""border:none;vertical-align:middle;width:145px;height:195px;"" /></a></td></tr><tr><th style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">Editor</th><td style=""border:1px dotted rgb(211,211,211);vertical-align:top;""><a href=""https://en.wikipedia.org/wiki/Larry_Flynt"" title=""Larry Flynt"" style=""text-decoration:none;color:rgb(11,0,128);background-image:none;"" rel=""ugc nofollow"">Larry Flynt</a></td></tr><tr><th style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">Categories</th><td style=""border:1px dotted rgb(211,211,211);vertical-align:top;""><a href=""https://en.wikipedia.org/wiki/Pornographic_magazine"" title=""Pornographic magazine"" style=""text-decoration:none;color:rgb(11,0,128);background-image:none;"" rel=""ugc nofollow"">Pornographic men's</a></td></tr><tr><th style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">Frequency</th><td style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">13 / year</td></tr><tr><th style=""border:1px dotted rgb(211,211,211);vertical-align:top;""><a href=""https://en.wikipedia.org/wiki/List_of_magazines_by_circulation"" title=""List of magazines by circulation"" style=""text-decoration:none;color:rgb(11,0,128);background-image:none;"" rel=""ugc nofollow"">Circulation</a></th><td style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">under 500,000</td></tr><tr><th style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">First issue</th><td style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">September 1993<sup class=""reference"" style=""line-height:1;white-space:nowrap;font-size:9.855999946594238px;""><a href=""https://en.wikipedia.org/wiki/Barely_Legal_(magazine)#cite_note-First_Issue-1"" style=""text-decoration:none;color:rgb(11,0,128);background-image:none;"" rel=""ugc nofollow"">[1]</a></sup><sup class=""reference"" style=""line-height:1;white-space:nowrap;font-size:9.855999946594238px;""><a href=""https://en.wikipedia.org/wiki/Barely_Legal_(magazine)#cite_note-1st_Issue-2"" style=""text-decoration:none;color:rgb(11,0,128);background-image:none;"" rel=""ugc nofollow"">[2]</a></sup></td></tr><tr><th style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">Company</th><td style=""border:1px dotted rgb(211,211,211);vertical-align:top;""><a href=""https://en.wikipedia.org/wiki/Larry_Flynt_Publications"" title=""Larry Flynt Publications"" style=""text-decoration:none;color:rgb(11,0,128);background-image:none;"" rel=""ugc nofollow"">Larry Flynt Publications</a></td></tr><tr><th style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">Country</th><td style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">US</td></tr><tr><th style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">Based in</th><td style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">Los Angeles</td></tr><tr><th style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">Language</th><td style=""border:1px dotted rgb(211,211,211);vertical-align:top;""><a href=""https://en.wikipedia.org/wiki/English_language"" title=""English language"" style=""text-decoration:none;color:rgb(11,0,128);background-image:none;"" rel=""ugc nofollow"">English</a></td></tr><tr><th style=""border:1px dotted rgb(211,211,211);vertical-align:top;"">Website</th><td style=""border:1px dotted rgb(211,211,211);vertical-align:top;""><a class=""external text"" href=""http://secure.barelylegal.com/track/NDM2MzI4LjEuNC40LjAuMC4wLjAuMA"" style=""text-decoration:none;color:rgb(102,51,102);padding-right:13px;background-position:100% 100%;"" rel=""ugc nofollow"">Hustler's Barely Legal website</a></td></tr><tr><th style=""border:1px dotted rgb(211,211,211);vertical-align:top;""><a href=""https://en.wikipedia.org/wiki/International_Standard_Serial_Number"" title=""International Standard Serial Number"" style=""text-decoration:none;color:rgb(11,0,128);background-image:none;"" rel=""ugc nofollow"">ISSN</a></th><td style=""border:1px dotted rgb(211,211,211);vertical-align:top;""><a class=""external text"" href=""https://www.worldcat.org/issn/0149-4635"" style=""text-decoration:none;color:rgb(102,51,102);padding-right:13px;background-position:100% 100%;"" rel=""ugc nofollow"">0149-4635</a></td></tr></tbody></table>",1993-09,,en,"Pornographic Magazine, Hustler, Barely Legal","Pornographic Magazine, Hustler, Barely Legal",,,archive.org,BarelyLegalMagazine,0,23322161,https://archive.org/download/BarelyLegalMagazine/Barely Legal - 2007 11.pdf,https://archive.org/download/BarelyLegalMagazine/00_Thumbnail - Barely Legal Magazine.jpg,,,2025-11-26T03:10:40.786886
Cantorion sheet music collection (part 4),,A collection of freely licensed sheet music.,,,en,"sheet music, sheet music","sheet music, sheet music",,,archive.org,Cantorion_sheet_music_collection_4,0,310195,https://archive.org/download/Cantorion_sheet_music_collection_4/00c085668258085b41c22070ba09b2c6.pdf,https://archive.org/download/Cantorion_sheet_music_collection_4/__ia_thumb.jpg,,,2025-11-26T03:10:41.835374
