title,author,description,date,publisher,language,subjects,categories,isbn,pages,source,identifier,download_count,file_size,pdf_url,cover_url,local_pdf_path,local_cover_path,added_date
Solution Manual Fundamentals Of Heat And Mass Transfer 6th Edition,,SolutionManual,,,en,Heat,Heat,,,archive.org,SolutionManualFundamentalsOfHeatAndMassTransfer6thEdition,0,76937559,https://archive.org/download/SolutionManualFundamentalsOfHeatAndMassTransfer6thEdition/Solution-Manual---Fundamentals-of-Heat-and-Mass-Transfer-6th-Edition.pdf,https://archive.org/download/SolutionManualFundamentalsOfHeatAndMassTransfer6thEdition/__ia_thumb.jpg,,,2025-11-26T03:12:27.439971
A Tagalog English and English Tagalog dictionary,"Nigg, Charles",Photocopy,1904,Manila : Imp. de Fajardo y comp.,en,"Tagalog language -- Dictionaries English, English language -- Dictionaries Tagalog","Tagalog language -- Dictionaries English, English language -- Dictionaries Tagalog",,,archive.org,tagalogenglishen00niggrich,0,33395074,https://archive.org/download/tagalogenglishen00niggrich/tagalogenglishen00niggrich.pdf,https://archive.org/download/tagalogenglishen00niggrich/__ia_thumb.jpg,,,2025-11-26T03:12:27.667786
139085831 El Eternauta Parte 01 Pdf,"OESTERHELD, HECTOR",FUTURISTA,,,en,"COMICS, ARGENTINA.","COMICS, ARGENTINA.",,,archive.org,139085831eleternautaparte01pdf,0,62161510,https://archive.org/download/139085831eleternautaparte01pdf/139085831-El-Eternauta-Parte-01-pdf.pdf,https://archive.org/download/139085831eleternautaparte01pdf/__ia_thumb.jpg,,,2025-11-26T03:12:28.675770
Latham v. The 1953 Trust,,"This item represents a case in PACER, the U.S. Government's website for federal case data. If you wish to see the entire case, please consult PACER directly.",,,en,,,,,archive.org,gov.uscourts.nysd.543369,0,135759,https://archive.org/download/gov.uscourts.nysd.543369/gov.uscourts.nysd.543369.1.0.pdf,https://archive.org/download/gov.uscourts.nysd.543369/__ia_thumb.jpg,,,2025-11-26T03:12:30.095554
"The Times , 1978, UK, English",,,1978,,en,,,,,archive.org,NewsUK1978UKEnglish,0,12147465,"https://archive.org/download/NewsUK1978UKEnglish/Apr 04 1978, The Times, #60267, UK (en).pdf",https://archive.org/download/NewsUK1978UKEnglish/__ia_thumb.jpg,,,2025-11-26T03:12:30.831905
DSM 5,,<div>DSM 5 Fifth edition</div><div>Diagnostic and Statistical Manual of Mental Disorders</div><div>American Psychiatric Association<br /></div><div><br /></div>,,,en,"DSM, DSM5","DSM, DSM5",,,archive.org,info_munsha_DSM5,0,31965300,https://archive.org/download/info_munsha_DSM5/DSM-5.pdf,https://archive.org/download/info_munsha_DSM5/__ia_thumb.jpg,,,2025-11-26T03:12:31.668225
BK 882 -Indian Social Reformer Vol XXXVI,Editor: K Natarajan,"Information Matia, Momna &amp; Saibaba",1926,,en,"satpanth, pirana, convert, hindu, muslim, imam, shah, nishkalanki, narayan, ramji, limbani, kutch, kachchh, kadva, patidar, history, research, mission, sadruddin, ginan, paval, real patidar, taqiyya","satpanth, pirana, convert, hindu, muslim",,,archive.org,bk882,0,115896415,https://archive.org/download/bk882/1926 -Indian Social Reformer Vol 36 (882) -D.pdf,https://archive.org/download/bk882/__ia_thumb.jpg,,,2025-11-26T03:12:32.661523
National Building Code of India 2016 (Volume 1),Bureau of Indian Standards,"<p> In order to promote public education and public safety, equal justice for all, a better informed citizenry, the rule of law, world trade and world peace, this legal document is hereby made available on a noncommercial basis, as it is the right of all humans to know and speak the laws that govern them. (For more information: <a href=""https://law.resource.org/pub/12tables.html"" rel=""ugc nofollow"">12 Tables of Code</a>) </p> <p> <b>Name of Standards Organization: </b>Bureau of Indian Standards (BIS)<br /><b>Division Name:</b> Civil Engineering<br /><b>Section Name:</b> National Building Code (CED 46) </p> <p> <b>Designator of Legally Binding Document:</b> SP 7 </p> <p> This item includes two versions of volume 1. You may download <a href=""https://archive.org/download/nationalbuilding01/in.gov.nbc.2016.vol1.digital.pdf"" rel=""ugc nofollow"">in.gov.nbc.2016.vol1.digital.pdf</a> (born digital file) or <a href=""https://archive.org/download/nationalbuilding01/nationalbuilding01.pdf"" rel=""ugc nofollow"">nationalbuilding01.pdf</a> (scan of the printed document). </p> <p> Images are all also available as conversions to .svg files. You may browse the <a href=""https://archive.org/download/nationalbuilding01/images/"" rel=""ugc nofollow"">images/</a> directory.</p> <p> This is the first of two volumes. Please also see <a href=""https://archive.org/details/nationalbuilding02"" rel=""ugc nofollow"">Volume 2.</a> </p>",2016,New Delhi : Bureau of Indian Standards,en,"data.gov.in; standardsbis.in; public.resource.org, amendment","data.gov.in; standardsbis.in; public.resource.org, amendment",,,archive.org,nationalbuilding01,0,40130282,https://archive.org/download/nationalbuilding01/in.gov.nbc.2016.vol1.digital.pdf,https://archive.org/download/nationalbuilding01/__ia_thumb.jpg,,,2025-11-26T03:12:33.897604
"A dictionary of the English language : in which the words are deduced from their originals, and illustrated in their different significations by examples from the best writers : to which are prefixed, a history of the language, and an English grammar","Johnson, Samuel, 1709-1784",31 32,1785,London : J. F. And C. Rivington [etc.],en,English language,English language,,,archive.org,dictionaryofengl01johnuoft,0,129900387,https://archive.org/download/dictionaryofengl01johnuoft/dictionaryofengl01johnuoft.pdf,https://archive.org/download/dictionaryofengl01johnuoft/__ia_thumb.jpg,,,2025-11-26T03:12:34.684022
BK 041 -Times Of India Mumbai Edition Page 22 For Pirana Satpanth,Times of India,"<span style=""color:rgb(90,90,90);font-family:'Helvetica Neue', Helvetica, Arial, sans-serif;font-size:14px;line-height:28px;background-color:rgb(243,243,243);"">Times of India, Mumbai Edition -</span><span style=""color:rgb(90,90,90);font-family:'Helvetica Neue', Helvetica, Arial, sans-serif;font-size:14px;line-height:28px;background-color:rgb(243,243,243);"">Article published on Satpanth religion</span>",2010-09-19,,en,satpanth; pirana; convert; hindu; muslim; imam; shah; nishkalanki; narayan; ramji; limbani; kutch; kachchh; kadva; patidar; history; research; mission; sadruddin; ginan; paval; real; patidar; taqiyya; maval; juval; literature; books,satpanth; pirana; convert; hindu; muslim; imam; shah; nishkalanki; narayan; ramji; limbani; kutch; kachchh; kadva; patidar; history; research; mission; sadruddin; ginan; paval; real; patidar; taqiyya; maval; juval; literature; books,,,archive.org,20100919TimesOfIndiaMumbaiEditionPage22ForPiranaSatpanth41D,0,67569868,https://archive.org/download/20100919TimesOfIndiaMumbaiEditionPage22ForPiranaSatpanth41D/2010-09-19 -Times of India -Mumbai Edition -Page 22 for Pirana Satpanth (41) -D.pdf,https://archive.org/download/20100919TimesOfIndiaMumbaiEditionPage22ForPiranaSatpanth41D/__ia_thumb.jpg,,,2025-11-26T03:12:35.693263
Hindi Book-Shrimad Bhagwat Gita With Tika.pdf,Hindi Book-Shrimad Bhagwat Gita With Tika.pdf,Hindi Book-Shrimad Bhagwat Gita With Tika.pdf,,,en,Hindi Book-Shrimad Bhagwat Gita With Tika.pdf,Hindi Book-Shrimad Bhagwat Gita With Tika.pdf,,,archive.org,HindiBook-shrimadBhagwatGitaWithTika.pdf,0,49338027,https://archive.org/download/HindiBook-shrimadBhagwatGitaWithTika.pdf/HindiBook-shrimadBhagwatGitaWithTika.pdf,https://archive.org/download/HindiBook-shrimadBhagwatGitaWithTika.pdf/__ia_thumb.jpg,,,2025-11-26T03:12:37.795436
Playboy  January 1969-December 1973: Vol 16-20 Index,,"Playboy January 1969-December 1973: <a href=""https://archive.org/search.php?query=sim_pubid%3A2767%20AND%20volume%3A16-20"" rel=""ugc nofollow"">Volume 16-20</a>, Issue CUMULATIVE INDEX.<br />Digitized from <a href=""https://archive.org/details/sim_raw_scan_IA1630634-01/page/n1324"" rel=""ugc nofollow"">IA1630634-01</a>.<br />Previous issue: <a href=""https://archive.org/details/sim_playboy_1972-12_19_12"" rel=""ugc nofollow"">sim_playboy_1972-12_19_12</a>.<br />Next issue: <a href=""https://archive.org/details/sim_playboy_1973-01_20_1"" rel=""ugc nofollow"">sim_playboy_1973-01_20_1</a>.",January 1969-December 1973,"Playboy Enterprises, Inc.",en,"Men's Interests, Magazines, microfilm","Men's Interests, Magazines, microfilm",,,archive.org,sim_playboy_january-1969-december-1973_16-20_cumulative-index,0,66205201,https://archive.org/download/sim_playboy_january-1969-december-1973_16-20_cumulative-index/sim_playboy_january-1969-december-1973_16-20_cumulative-index.pdf,https://archive.org/download/sim_playboy_january-1969-december-1973_16-20_cumulative-index/__ia_thumb.jpg,,,2025-11-26T03:12:37.889823
"The Times , 1984, UK, English",,,,,en,,,,,archive.org,NewsUK1984UKEnglish,0,12443720,"https://archive.org/download/NewsUK1984UKEnglish/Apr 03 1984, The Times (The Times), #61796, UK (en).pdf",https://archive.org/download/NewsUK1984UKEnglish/__ia_thumb.jpg,,,2025-11-26T03:12:38.992631
Time Saver Standards For Building Types,,Time Saver Standards For Building Types,,,en,books,books,,,archive.org,TimeSaverStandardsForBuildingTypes,0,198148632,https://archive.org/download/TimeSaverStandardsForBuildingTypes/Time-saver Standards for Building Types.pdf,https://archive.org/download/TimeSaverStandardsForBuildingTypes/__ia_thumb.jpg,,,2025-11-26T03:12:39.700797
The Indian Year Book Volume. Xxix,"Reed, Sir Stanley","<p><b>Book Source:</b> <a href=""http://www.new.dli.ernet.in/handle/2015/61523"" rel=""ugc nofollow"">Digital Library of India Item 2015.61523</a></p><p>dc.contributor.author: Reed, Sir Stanley<br />dc.date.accessioned: 2015-06-29T21:02:22Z<br />dc.date.available: 2015-06-29T21:02:22Z<br />dc.date.copyrightexpirydate: 0000-00-00<br />dc.date.digitalpublicationdate: 2010-04-00<br />dc.date.citation: 1942<br />dc.identifier.barcode: 99999990271428<br />dc.identifier.origpath: /data6/upload/0124/230<br />dc.identifier.copyno: 1<br />dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/61523<br />dc.description.scanningcentre: Banasthali University<br />dc.description.main: 1<br />dc.description.tagged: 0<br />dc.description.totalpages: 1493<br />dc.format.mimetype: application/pdf<br />dc.language.iso: English<br />dc.publisher.digitalrepublisher: Digital Library Of India<br />dc.publisher: Calcutta, Bennett Coleman Amp Co. Ltd<br />dc.rights: Copyright Permitted<br />dc.source.library: Central Library, University Of Rajasthan<br />dc.subject.classification: Education --india --yearbooks<br />dc.title: The Indian Year Book Volume. Xxix<br /></p>",1942,,en,Banasthali,Banasthali,,,archive.org,in.ernet.dli.2015.61523,0,122947765,https://archive.org/download/in.ernet.dli.2015.61523/2015.61523.The-Indian-Year-Book-Volume-Xxix.pdf,https://archive.org/download/in.ernet.dli.2015.61523/__ia_thumb.jpg,,,2025-11-26T03:12:41.190807
"The Times , 1975, UK, English",,,1975,,en,,,,,archive.org,NewsUK1975UKEnglish,0,9764100,"https://archive.org/download/NewsUK1975UKEnglish/Apr 01 1975, The Times, #59358, UK (en).pdf",https://archive.org/download/NewsUK1975UKEnglish/__ia_thumb.jpg,,,2025-11-26T03:12:41.840804
The wonderful wizard of Oz,"Baum, L. Frank (Lyman Frank), 1856-1919",Publisher's green and red illustrated cloth over boards; illustrated endpapers. Plate detached,"1900, c1899",Chicago ; New York : G.M. Hill Co.,en,"Adventure and adventurers, Wizards","Adventure and adventurers, Wizards",,,archive.org,wonderfulwizardo00baumiala,0,17423589,https://archive.org/download/wonderfulwizardo00baumiala/wonderfulwizardo00baumiala.pdf,https://archive.org/download/wonderfulwizardo00baumiala/__ia_thumb.jpg,,,2025-11-26T03:12:42.684887
"Srimad Bhagavad Gita (Sanskrit, Hindi and English)","Kaushik, Ashok","Book from the <a href=""http://www.ignca.nic.in/"" rel=""ugc nofollow"">Archaeological Survey of India</a><br />Central Archaeological Library, New Delhi<p>Book Number: 279<br />Book Title: Srimad Bhagavad Gita (Sanskrit, Hindi and English)<br />Book Author: Kaushik, Ashok<br />Book Language: English<br />Number of Pages: 430<br />Publisher: Star Publications; New Delhi; 1993<br />Subject: Shirimad Bhagavad Gita; Hinduism, Secret books; Hinduism<br />Source URL: <a href=""http://asi.nic.in/asi_books/279.pdf"" rel=""ugc nofollow"">http://asi.nic.in/asi_books/279.pdf</a><br />Year: 1993</p><p></p>",1993,,en,"Archeological Survey;Shirimad Bhagavad Gita; Hinduism, Secret books; Hinduism","Archeological Survey;Shirimad Bhagavad Gita; Hinduism, Secret books; Hinduism",,,archive.org,in.gov.ignca.279,0,53192407,https://archive.org/download/in.gov.ignca.279/279.pdf,https://archive.org/download/in.gov.ignca.279/__ia_thumb.jpg,,,2025-11-26T03:12:43.837974
"Spanish-English and English-Spanish commercial dictionary of the words and terms used in commercial correspondence which are not given in the dictionaries in ordinary use; compound phrases, idiomatic and technical expressions, etc","Macdonald, George Robert",26,1918,"London, Pitman",en,"Spanish language, Commerce","Spanish language, Commerce",,,archive.org,spanishenglishen00macduoft,0,41437261,https://archive.org/download/spanishenglishen00macduoft/spanishenglishen00macduoft.pdf,https://archive.org/download/spanishenglishen00macduoft/__ia_thumb.jpg,,,2025-11-26T03:12:44.726400
4000 Essential English Words 6 Answer Key,Paul Nation,4000 Essential English Words 6 Answer Key,2016-11-17,,en,4000 Essential English Words 6 Answer Key,4000 Essential English Words 6 Answer Key,,,archive.org,4000EssentialEnglishWords6AnswerKey,0,291072,https://archive.org/download/4000EssentialEnglishWords6AnswerKey/4000 Essential English Words 1 Answer Key.pdf,https://archive.org/download/4000EssentialEnglishWords6AnswerKey/__ia_thumb.jpg,,,2025-11-26T03:12:45.767481
"The Times , 1980, UK, English",,,1980,,en,,,,,archive.org,NewsUK1980UKEnglish,0,12438556,"https://archive.org/download/NewsUK1980UKEnglish/Apr 01 1980, The Times, #60590, UK (en).pdf",https://archive.org/download/NewsUK1980UKEnglish/__ia_thumb.jpg,,,2025-11-26T03:12:46.866216
The Indian Antiquary Vol-xxxiii 1904,Fleet John Faithfull,"<p><b>Book Source:</b> <a href=""http://www.new.dli.ernet.in/handle/2015/206687"" rel=""nofollow"">Digital Library of India Item 2015.206687</a></p><p>dc.contributor.author: Fleet John Faithfull<br />dc.date.accessioned: 2015-07-09T14:46:28Z<br />dc.date.available: 2015-07-09T14:46:28Z<br />dc.date.digitalpublicationdate: 2003-12-31<br />dc.date.citation: 1904<br />dc.identifier: Librarian, Rashtrapati Bhavan<br />dc.identifier.barcode: 6010010075843<br />dc.identifier.origpath: /data_copy/upload/0075/848<br />dc.identifier.copyno: 1<br />dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/206687<br />dc.description.scanningcentre: Rashtrapati Bhavan Library<br />dc.description.main: 1<br />dc.description.tagged: 0<br />dc.description.totalpages: 536<br />dc.format.mimetype: application/pdf<br />dc.language.iso: English<br />dc.publisher.digitalrepublisher: Rashtrapati Bhavan<br />dc.publisher: Bombay Education Society’s Press, Bombay<br />dc.rights: Out_of_copyright<br />dc.source.library: Rashtrapati Bhavan Library<br />dc.subject.classification: Genral Encyclopedias<br />dc.title: The Indian Antiquary Vol-xxxiii 1904<br />dc.rights.holder: Fleet John Faithfull<br /></p>",1904,,en,Rashtrapati,Rashtrapati,,,archive.org,in.ernet.dli.2015.206687,0,63608050,https://archive.org/download/in.ernet.dli.2015.206687/2015.206687.The-Indian.pdf,https://archive.org/download/in.ernet.dli.2015.206687/__ia_thumb.jpg,,,2025-11-26T03:12:48.054344
"List of registered motor vehicles, with motor vehicle law, rules of the road, list of automobiles showing taxable horse-power ratings of pleasure and commercial cars, also table of fees",,"Has commercial, personal car and motorcycle license numbers, dealers, liverymen, and owners and town of residence.; Frequency: Annual; Other title: List of registered motor vehicles, with motor vehicle law, rules of the road, list of automobiles showing taxable horse-power ratings of pleasure and commercial cars, also table of fees (Hartford, Conn. : 1914); Other title: At head of title: State of Connecticut; Other author: Connecticut. Secretary of the State. Motor Vehicle Dept; Note: ""Secretary's Office, Motor Vehicle Department.""; Continues: List of registered motor vehicles (Hartford, Conn. : 1913); Continued by: Connecticut motor vehicle register",1914,The State,en,"Automobiles -- Connecticut -- Registers, Automobiles -- Law and legislation -- Connecticut, Motorcycles -- Connecticut -- Registers","Automobiles -- Connecticut -- Registers, Automobiles -- Law and legislation -- Connecticut, Motorcycles -- Connecticut -- Registers",,,archive.org,listofregistered1914stat,0,36492873,https://archive.org/download/listofregistered1914stat/listofregistered1914stat.pdf,https://archive.org/download/listofregistered1914stat/__ia_thumb.jpg,,,2025-11-26T03:12:49.029668
Corey Wayne How To Be A 3% Man,Coach Corey Wayne,"<span style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">Dear Friend:</span><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><span style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">This book teaches you the hidden secrets to completely understand women. How you can meet and date the type of women you've always wanted and have effortless relationships! How to get a girlfriend. How to date multiple women. How to get your wife or girlfriend back. Turn your girl ""friend"" into your girlfriend. Live the life of your dreams & accomplish your goals. How to get women to pursue you and approach you first, etc. </span><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><span style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">My book covers both the dating world and long term relationships. You will learn how to meet and date the type of women you've always dreamed of. The best part is you can do this while remaining who you truly are inside. The book teaches you how to create sexual attraction in women & get women to chase & pursue you! It takes you step by step with easy to follow instructions. You will be able to meet women anytime, anyplace, & anywhere... this will give you choice with women. Whether you are single & searching, or already with your dream lady, my book has the secrets most men will never know about women… and… that women don't know about themselves.</span><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><span style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">Why should you buy my book? Because it is the lowest cost and highest perceived value of any other eBook on the subject of pickup skills, dating and relationships. It offers more tips, strategies and techniques than any other book you will find. Unlike most other eBooks that only give you attraction and pick up techniques, my book will teach you how to successfully pickup up women anytime, anyplace and anywhere. Then it will teach you how to transition into dating, getting her to ask YOU to be HER boyfriend, and how to maintain a long term healthy and drama-free relationship free from nagging and arguments. I guarantee it will teach you more than any other book on the subject. PERIOD!</span><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><span style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">What makes me qualified to help you? When I was younger and unsuccessful with women, I had a lot of life success (great career, very successful business, cars, toys, etc.), but when I went out on dates with women I really liked, I would get 2-3 dates max and then the women would never want to see me again, or they wanted to ""just be friends."" I was a total loser with women. I hated how that made me feel! Everyday I saw guys who were total losers and who had these hot women all over them. I thought... ""These guys are no better than me.""</span><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><span style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">So I got serious about figuring this stuff out once and for all. I spent five years relentlessly learning, reading, researching, practicing, interviewing and hanging out with men who were really successful with women. Men who were naturally successful with women. The crazy thing was that many of these ""naturals"" with women were totally broke as a joke, and yet their women totally adored and worshiped them! As the light bulbs went off and I became better not only at modeling their success, but understanding the psychology of why they were successful, my own success really skyrocketed!</span><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><span style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">I got good enough to meet and date a playboy model, a Miss Florida, a Miss America contestant and many other very high quality, gorgeous and successful women. Women who were previously ""out of my league."" If a regular guy like myself can do it, so can you! The good news is, once you understand the psychology of how a woman thinks, what she emotionally responds to, and what women really want in a man… any guy can duplicate my success. Even if you are not tall, rich or handsome! The ""naturals"" proved that to me over and over. After you finish reading my eBook, please go to my website and email me with your questions or sign up for my FREE newsletter :) Apply what I teach. It will work for you.</span><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><span style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">From my heart to yours,</span><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><span style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">Corey Wayne</span><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><br style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"" /><span style=""color:rgb(51,51,51);font-family:Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">PS: If you're a woman, you will love the relationship wisdom in my book. You will learn things you did not even understand or know about yourself and how or why you have behaved in certain ways with certain men. You know the guys I'm talking about :)</span>",,,en,"Dating, Pick Up, PUA, Self Improvement, Psychology","Dating, Pick Up, PUA, Self Improvement, Psychology",,,archive.org,CoreyWayneHowToBeA3Man,0,3461353,https://archive.org/download/CoreyWayneHowToBeA3Man/Corey Wayne - How to Be a 3% Man.pdf,https://archive.org/download/CoreyWayneHowToBeA3Man/__ia_thumb.jpg,,,2025-11-26T03:12:49.670012
"Financial Times , 1982, UK, English",,,,,en,,,,,archive.org,FinancialTimes1982UKEnglish,0,13827861,"https://archive.org/download/FinancialTimes1982UKEnglish/Apr 01 1982, Financial Times, #28739, UK (en).pdf",https://archive.org/download/FinancialTimes1982UKEnglish/__ia_thumb.jpg,,,2025-11-26T03:12:50.907473
The lightning thief,"Riordan, Rick","['<p>\t<strong>This public document was automatically mirrored from <a href=""https://pdf.yt/"" rel=""ugc nofollow"">PDFy</a>.</strong></p><ul><li><strong>Original filename:</strong> 01_The_Lightning_Thief.pdf</li>\t<li><strong>URL:</strong> <a href=""http://pdf.yt/d/vJFcaYG7Xau9y5ZZ"" rel=""ugc nofollow"">https://pdf.yt/d/vJFcaYG7Xau9y5ZZ</a></li>\t<li><strong>Upload date:</strong> January 08, 2015 13:15:27</li></ul>', 'After learning that he is the son of a mortal woman and Poseidon, god of the sea, twelve-year-old Percy is sent to a summer camp for demigods like himself, and joins his new friends on a quest to prevent a war between the gods', 'I accidentally vaporize my pre-algebra teacher -- Three old ladies knit the socks of death -- Grover unexpectedly loses his pants -- My mother teaches me bullfighting -- I play pinochle with a horse -- I become supreme lord of the bathroom -- My dinner goes up in smoke -- We capture a flag -- I am offered a quest -- I ruin a perfectly good bus -- We visit the Garden Gnome Emporium -- We get advice from a poodle -- I plunge to my death -- I become a known fugitive -- God buys us cheeseburgers -- We take a zebra to Vegas -- We shop for water beds -- Annabeth does obedience school -- We find out the truth, sort of -- I battle my jerk relative -- I settle my tab -- Prophecy comes true']",2005,New York : Miramax Books/Hyperion Books for Children,en,"mirror, pdf.yt, Mythology, Greek, Camps, Friendship, Fathers and sons, Poseidon (Greek deity), Hades (Greek deity), Zeus (Greek deity)","mirror, pdf.yt, Mythology, Greek, Camps, Friendship",,,archive.org,pdfy-vJFcaYG7Xau9y5ZZ,0,1316802,https://archive.org/download/pdfy-vJFcaYG7Xau9y5ZZ/01_The_Lightning_Thief.pdf,https://archive.org/download/pdfy-vJFcaYG7Xau9y5ZZ/__ia_thumb.jpg,,,2025-11-26T03:12:51.686770
SP 16: Design Aids for Reinforced Concrete to IS 456:1978,Bureau of Indian Standards,"In order to promote public education and public safety, equal justice for all, a better informed citizenry, the rule of law, world trade and world peace, this legal document is hereby made available on a noncommercial basis, as it is the right of all humans to know and speak the laws that govern them. (For more information: <a href=""https://law.resource.org/pub/12tables.html"" rel=""ugc nofollow"">12 Tables of Code</a>)<br /><br /><b>Name of Standards Organization: </b>Bureau of Indian Standards (BIS)<br /><b>Division Name:</b> Civil Engineering<br /><b>Section Name:</b> Cement and Concrete (CED 2)<br /><br /><b>Designator of Legally Binding Document:</b> SP 16 <br /><b>Title of Legally Binding Document:</b> Design Aids for Reinforced Concrete to IS 456:1978<br /><b>Number of Amendments:</b> <br /><b>Equivalence:</b> <br /><b>Superceding:</b> <br /><b>Superceded by:</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda <br /><br /><p><b style=""color:#FF0000;"">ATTENTION!</b> This standard, Indian Standard SP16:1980, has been declared to be <b>WITHDRAWN</b> is thus no longer active.  Superceding standard: .</p>",1980,,en,"data.gov.in;standardsbis.in;public.resource.org, withdrawn","data.gov.in;standardsbis.in;public.resource.org, withdrawn",,,archive.org,gov.in.is.sp.16.1980,0,27708937,https://archive.org/download/gov.in.is.sp.16.1980/is.sp.16.1980.pdf,https://archive.org/download/gov.in.is.sp.16.1980/__ia_thumb.jpg,,,2025-11-26T03:12:52.671724
Berserk manga,Kentaro Miura,Berserk manga all volumes in .CBZ format in High quality!<br />,,,en,"Berserk Manga, Manga, Berserk","Berserk Manga, Manga, Berserk",,,archive.org,berserk-manga,0,32726955,https://archive.org/download/berserk-manga/Berserk v01 (2003).pdf,https://archive.org/download/berserk-manga/__ia_thumb.jpg,,,2025-11-26T03:12:53.792994
NSCP 2015,NSCP,National Structural Code of the Philippines<br />2015 Edition<br />,2015-01-01,,en,"NSCP, 2015, Structural, Code","NSCP, 2015, Structural, Code",,,archive.org,NSCP2015,0,91800624,https://archive.org/download/NSCP2015/NSCP-2015.pdf,https://archive.org/download/NSCP2015/__ia_thumb.jpg,,,2025-11-26T03:12:54.663385
NOVEL: Mushoku Tensei,,NOVEL: Mushoku Tensei,,,en,,,,,archive.org,manga_Mushoku_Tensei,0,4175420,https://archive.org/download/manga_Mushoku_Tensei/!Autogenerated Baka-Tsuki/Mushoku Tensei - Volume 01 - Infancy Period [Baka-Tsuki][Autogenerated].pdf,https://archive.org/download/manga_Mushoku_Tensei/__ia_thumb.jpg,,,2025-11-26T03:12:55.775439
"A complete dictionary of synonyms and antonyms ... with an appendix embracing a dictionary of Briticisms, Americanisms, colloquial phrases, etc","Fallows, Samuel, Bp., 1835-1922",26,[c1898],Chicago F.H. Revell company,en,English language -- Synonyms and antonyms,English language -- Synonyms and antonyms,,,archive.org,completedictiona00falluoft,0,27919964,https://archive.org/download/completedictiona00falluoft/completedictiona00falluoft.pdf,https://archive.org/download/completedictiona00falluoft/__ia_thumb.jpg,,,2025-11-26T03:12:56.666199
